,Sentence,tokens
0,"Al-Zaman : American forces killed Shaikh Abdullah al-Ani, the preacher at the mosque in the town of Qaim, near the Syrian border.","['Al', '-', 'Zaman', ':', 'American', 'forces', 'killed', 'Shaikh', 'Abdullah', 'al', '-', 'Ani', ',', 'the', 'preacher', 'at', 'the', 'mosque', 'in', 'the', 'town', 'of', 'Qaim', ',', 'near', 'the', 'Syrian', 'border', '.']"
1,[This killing of a respected cleric will be causing us trouble for years to come.],"['[', 'This', 'killing', 'of', 'a', 'respected', 'cleric', 'will', 'be', 'causing', 'us', 'trouble', 'for', 'years', 'to', 'come', '.', ']']"
2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,"['DPA', ':', 'Iraqi', 'authorities', 'announced', 'that', 'they', 'had', 'busted', 'up', '3', 'terrorist', 'cells', 'operating', 'in', 'Baghdad', '.']"
3,Two of them were being run by 2 officials of the Ministry of the Interior!,"['Two', 'of', 'them', 'were', 'being', 'run', 'by', '2', 'officials', 'of', 'the', 'Ministry', 'of', 'the', 'Interior', '!']"
4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.","['The', 'MoI', 'in', 'Iraq', 'is', 'equivalent', 'to', 'the', 'US', 'FBI', ',', 'so', 'this', 'would', 'be', 'like', 'having', 'J.', 'Edgar', 'Hoover', 'unwittingly', 'employ', 'at', 'a', 'high', 'level', 'members', 'of', 'the', 'Weathermen', 'bombers', 'back', 'in', 'the', '1960s', '.']"
5,The third was being run by the head of an investment firm.,"['The', 'third', 'was', 'being', 'run', 'by', 'the', 'head', 'of', 'an', 'investment', 'firm', '.']"
6,You wonder if he was manipulating the market with his bombing targets.,"['You', 'wonder', 'if', 'he', 'was', 'manipulating', 'the', 'market', 'with', 'his', 'bombing', 'targets', '.']"
7,The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.,"['The', 'cells', 'were', 'operating', 'in', 'the', 'Ghazaliyah', 'and', 'al', '-', 'Jihad', 'districts', 'of', 'the', 'capital', '.']"
8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.","['Although', 'the', 'announcement', 'was', 'probably', 'made', 'to', 'show', 'progress', 'in', 'identifying', 'and', 'breaking', 'up', 'terror', 'cells', ',', 'I', 'do', ""n't"", 'find', 'the', 'news', 'that', 'the', 'Baathists', 'continue', 'to', 'penetrate', 'the', 'Iraqi', 'government', 'very', 'hopeful', '.']"
9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,"['It', 'reminds', 'me', 'too', 'much', 'of', 'the', 'ARVN', 'officers', 'who', 'were', 'secretly', 'working', 'for', 'the', 'other', 'side', 'in', 'Vietnam', '.']"
10,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,"['Al', '-', 'Zaman', ':', 'Guerrillas', 'killed', 'a', 'member', 'of', 'the', 'Kurdistan', 'Democratic', 'Party', 'after', 'kidnapping', 'him', 'in', 'Mosul', '.']"
