	precision	recall	f1-score	support
ARG0	0.272	0.08	0.123	15275
ARG1	0.212	0.132	0.163	27657
ARG1-DSP	0.0	0.0	0.0	23
ARG2	0.165	0.039	0.063	9825
ARG3	0.143	0.009	0.017	656
ARG4	0.105	0.005	0.009	406
ARG5	0.0	0.0	0.0	4
ARGA	0.0	0.0	0.0	1
ARGM-ADJ	0.226	0.022	0.04	1689
ARGM-ADV	0.159	0.016	0.029	4429
ARGM-CAU	0.0	0.0	0.0	598
ARGM-COM	0.0	0.0	0.0	112
ARGM-CXN	0.0	0.0	0.0	130
ARGM-DIR	0.2	0.004	0.008	497
ARGM-DIS	0.288	0.116	0.166	1426
ARGM-EXT	0.34	0.039	0.07	873
ARGM-GOL	0.0	0.0	0.0	224
ARGM-LOC	0.157	0.033	0.054	1626
ARGM-LVB	0.0	0.0	0.0	553
ARGM-MNR	0.069	0.003	0.005	1488
ARGM-MOD	0.328	0.141	0.197	3569
ARGM-NEG	0.294	0.043	0.075	1909
ARGM-PRD	0.0	0.0	0.0	459
ARGM-PRP	0.333	0.001	0.003	719
ARGM-PRR	0.0	0.0	0.0	554
ARGM-REC	0.0	0.0	0.0	24
ARGM-TMP	0.252	0.057	0.093	5329
C-ARG0	0.0	0.0	0.0	26
C-ARG1	0.0	0.0	0.0	446
C-ARG1-DSP	0.0	0.0	0.0	24
C-ARG2	0.0	0.0	0.0	87
C-ARG3	0.0	0.0	0.0	17
C-ARG4	0.0	0.0	0.0	6
C-ARGM-ADV	0.0	0.0	0.0	1
C-ARGM-COM	0.0	0.0	0.0	1
C-ARGM-CXN	0.0	0.0	0.0	70
C-ARGM-DIR	0.0	0.0	0.0	2
C-ARGM-EXT	0.0	0.0	0.0	1
C-ARGM-GOL	0.0	0.0	0.0	1
C-ARGM-LOC	0.0	0.0	0.0	12
C-ARGM-MNR	0.0	0.0	0.0	2
C-ARGM-PRP	0.0	0.0	0.0	2
C-ARGM-PRR	0.0	0.0	0.0	2
C-ARGM-TMP	0.0	0.0	0.0	3
C-V	0.0	0.0	0.0	154
R-ARG0	0.375	0.005	0.009	644
R-ARG1	0.224	0.017	0.031	654
R-ARG2	0.0	0.0	0.0	43
R-ARG3	0.0	0.0	0.0	9
R-ARG4	0.0	0.0	0.0	2
R-ARGM-ADV	0.0	0.0	0.0	28
R-ARGM-CAU	0.0	0.0	0.0	9
R-ARGM-COM	0.0	0.0	0.0	1
R-ARGM-DIR	0.0	0.0	0.0	1
R-ARGM-GOL	0.0	0.0	0.0	2
R-ARGM-LOC	0.0	0.0	0.0	54
R-ARGM-MNR	0.0	0.0	0.0	9
R-ARGM-TMP	0.0	0.0	0.0	40
_	0.927	0.979	0.952	953696
macro avg	0.086	0.029	0.036	1036104
