,number,token,if_predicate,if_argument
0,1,What,0,0
1,1,if,0,0
2,1,Google,0,0
3,1,Morphed,0,0
4,1,Into,0,0
5,1,GoogleOS,0,0
6,1,?,0,0
7,2,What,0,0
8,2,if,0,0
9,2,Google,0,0
10,2,expanded,1,0
11,2,on,0,0
12,2,its,0,0
13,2,search,0,0
14,2,-,0,1
15,2,engine,0,0
16,2,(,0,0
17,2,and,1,0
18,2,now,0,0
19,2,e-mail,0,0
20,2,),0,0
21,2,wares,0,0
22,2,into,0,0
23,2,a,1,0
24,2,full,0,0
25,2,-,0,1
26,2,fledged,0,0
27,2,operating,0,0
28,2,system,0,0
29,2,?,0,0
30,3,[,0,0
31,3,via,0,0
32,3,Microsoft,0,0
33,3,Watch,0,0
34,3,from,0,0
35,3,Mary,0,0
36,3,Jo,0,0
37,3,Foley,0,0
38,3,],0,0
39,4,(,0,0
40,4,And,0,0
41,4,",",0,0
42,4,by,0,0
43,4,the,0,0
44,4,way,0,0
45,4,",",0,0
46,4,is,1,0
47,4,anybody,0,1
48,4,else,0,1
49,4,just,0,0
50,4,a,1,0
51,4,little,0,0
52,4,nostalgic,0,1
53,4,for,0,1
54,4,the,0,0
55,4,days,0,0
56,4,when,0,0
57,4,that,0,1
58,4,was,1,0
59,4,a,1,0
60,4,good,0,1
61,4,thing,0,1
62,4,?,0,0
63,4,),0,0
64,4,(,0,0
65,4,And,0,0
66,4,",",0,0
67,4,by,0,0
68,4,the,0,0
69,4,way,0,0
70,4,",",0,0
71,4,is,1,0
72,4,anybody,0,1
73,4,else,0,1
74,4,just,0,0
75,4,a,1,0
76,4,little,0,0
77,4,nostalgic,0,1
78,4,for,0,1
79,4,the,0,0
80,4,days,0,0
81,4,when,0,0
82,4,that,0,1
83,4,was,1,0
84,4,a,1,0
85,4,good,0,1
86,4,thing,0,1
87,4,?,0,0
88,4,),0,0
89,4,(,0,0
90,4,And,0,0
91,4,",",0,0
92,4,by,0,0
93,4,the,0,0
94,4,way,0,0
95,4,",",0,0
96,4,is,1,0
97,4,anybody,0,1
98,4,else,0,1
99,4,just,0,0
100,4,a,1,0
101,4,little,0,0
102,4,nostalgic,0,1
103,4,for,0,1
104,4,the,0,0
105,4,days,0,0
106,4,when,0,0
107,4,that,0,1
108,4,was,1,0
109,4,a,1,0
110,4,good,0,1
111,4,thing,0,1
112,4,?,0,0
113,4,),0,0
114,5,This,0,0
115,5,BuzzMachine,0,0
116,5,post,0,1
117,5,argues,1,0
118,5,that,0,0
119,5,Google,0,0
120,5,'s,1,0
121,5,rush,0,1
122,5,toward,0,1
123,5,ubiquity,0,0
124,5,might,1,0
125,5,backfire,1,0
126,5,--,0,0
127,5,which,0,1
128,5,we,0,1
129,5,'ve,0,0
130,5,all,0,0
131,5,heard,1,0
