,number,token
0,0,Al
1,0,-
2,0,Zaman
3,0,:
4,0,American
5,0,forces
6,0,killed
7,0,Shaikh
8,0,Abdullah
9,0,al
10,0,-
11,0,Ani
12,0,","
13,0,the
14,0,preacher
15,0,at
16,0,the
17,0,mosque
18,0,in
19,0,the
20,0,town
21,0,of
22,0,Qaim
23,0,","
24,0,near
25,0,the
26,0,Syrian
27,0,border
28,0,.
29,1,[
30,1,This
31,1,killing
32,1,of
33,1,a
34,1,respected
35,1,cleric
36,1,will
37,1,be
38,1,causing
39,1,us
40,1,trouble
41,1,for
42,1,years
43,1,to
44,1,come
45,1,.
46,1,]
47,2,DPA
48,2,:
49,2,Iraqi
50,2,authorities
51,2,announced
52,2,that
53,2,they
54,2,had
55,2,busted
56,2,up
57,2,3
58,2,terrorist
59,2,cells
60,2,operating
61,2,in
62,2,Baghdad
63,2,.
64,3,Two
65,3,of
66,3,them
67,3,were
68,3,being
69,3,run
70,3,by
71,3,2
72,3,officials
73,3,of
74,3,the
75,3,Ministry
76,3,of
77,3,the
78,3,Interior
79,3,!
80,4,The
81,4,MoI
82,4,in
83,4,Iraq
84,4,is
85,4,equivalent
86,4,to
87,4,the
88,4,US
89,4,FBI
90,4,","
91,4,so
92,4,this
93,4,would
94,4,be
95,4,like
96,4,having
97,4,J.
98,4,Edgar
99,4,Hoover
100,4,unwittingly
101,4,employ
102,4,at
103,4,a
104,4,high
105,4,level
106,4,members
107,4,of
108,4,the
109,4,Weathermen
110,4,bombers
111,4,back
112,4,in
113,4,the
114,4,1960s
115,4,.
116,5,The
117,5,third
118,5,was
119,5,being
120,5,run
121,5,by
122,5,the
123,5,head
124,5,of
125,5,an
126,5,investment
127,5,firm
128,5,.
129,6,You
130,6,wonder
131,6,if
132,6,he
133,6,was
134,6,manipulating
135,6,the
136,6,market
137,6,with
138,6,his
139,6,bombing
140,6,targets
141,6,.
142,7,The
143,7,cells
144,7,were
145,7,operating
146,7,in
147,7,the
148,7,Ghazaliyah
149,7,and
150,7,al
151,7,-
152,7,Jihad
153,7,districts
154,7,of
155,7,the
156,7,capital
157,7,.
158,8,Although
159,8,the
160,8,announcement
161,8,was
162,8,probably
163,8,made
164,8,to
165,8,show
166,8,progress
167,8,in
168,8,identifying
169,8,and
170,8,breaking
171,8,up
172,8,terror
173,8,cells
174,8,","
175,8,I
176,8,do
177,8,n't
