,Sentence,subject,predicate,arguments,tokens
0,"Al-Zaman : American forces killed Shaikh Abdullah al-Ani, the preacher at the mosque in the town of Qaim, near the Syrian border.",['american forces'],['killed'],"['shaikh abdullah al - ani , preacher ,']","['Al', '-', 'Zaman', ':', 'American', 'forces', 'killed', 'Shaikh', 'Abdullah', 'al', '-', 'Ani', ',', 'the', 'preacher', 'at', 'the', 'mosque', 'in', 'the', 'town', 'of', 'Qaim', ',', 'near', 'the', 'Syrian', 'border', '.']"
1,[This killing of a respected cleric will be causing us trouble for years to come.],['this killing of'],['causing come'],['us trouble'],"['[', 'This', 'killing', 'of', 'a', 'respected', 'cleric', 'will', 'be', 'causing', 'us', 'trouble', 'for', 'years', 'to', 'come', '.', ']']"
2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,['iraqi authorities they'],['announced busted operating'],['3 terrorist cells operating'],"['DPA', ':', 'Iraqi', 'authorities', 'announced', 'that', 'they', 'had', 'busted', 'up', '3', 'terrorist', 'cells', 'operating', 'in', 'Baghdad', '.']"
3,Two of them were being run by 2 officials of the Ministry of the Interior!,['two of by officials'],['run'],[''],"['Two', 'of', 'them', 'were', 'being', 'run', 'by', '2', 'officials', 'of', 'the', 'Ministry', 'of', 'the', 'Interior', '!']"
4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",['the moi in this'],['having employ'],['j. edgar hoover'],"['The', 'MoI', 'in', 'Iraq', 'is', 'equivalent', 'to', 'the', 'US', 'FBI', ',', 'so', 'this', 'would', 'be', 'like', 'having', 'J.', 'Edgar', 'Hoover', 'unwittingly', 'employ', 'at', 'a', 'high', 'level', 'members', 'of', 'the', 'Weathermen', 'bombers', 'back', 'in', 'the', '1960s', '.']"
5,The third was being run by the head of an investment firm.,['the third by head'],['run'],[''],"['The', 'third', 'was', 'being', 'run', 'by', 'the', 'head', 'of', 'an', 'investment', 'firm', '.']"
6,You wonder if he was manipulating the market with his bombing targets.,['you he'],['wonder manipulating'],['the market'],"['You', 'wonder', 'if', 'he', 'was', 'manipulating', 'the', 'market', 'with', 'his', 'bombing', 'targets', '.']"
7,The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.,['the cells'],['operating'],[''],"['The', 'cells', 'were', 'operating', 'in', 'the', 'Ghazaliyah', 'and', 'al', '-', 'Jihad', 'districts', 'of', 'the', 'capital', '.']"
8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",['the announcement i the baathists'],['made show identifying breaking find continue penetrate'],['progress terror cells the news continue the iraqi government'],"['Although', 'the', 'announcement', 'was', 'probably', 'made', 'to', 'show', 'progress', 'in', 'identifying', 'and', 'breaking', 'up', 'terror', 'cells', ',', 'I', 'do', ""n't"", 'find', 'the', 'news', 'that', 'the', 'Baathists', 'continue', 'to', 'penetrate', 'the', 'Iraqi', 'government', 'very', 'hopeful', '.']"
9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,['it who'],['reminds working'],['me too much of'],"['It', 'reminds', 'me', 'too', 'much', 'of', 'the', 'ARVN', 'officers', 'who', 'were', 'secretly', 'working', 'for', 'the', 'other', 'side', 'in', 'Vietnam', '.']"
