predict	gold
_	_
_	_
_	ARG1
_	_
_	_
_	ARG2
_	_
_	_
_	_
_	ARG0
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	ARG1
_	_
_	_
_	_
_	_
_	_
_	_
_	ARG4
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	ARGM-DIS
_	_
_	_
_	ARG1
_	_
_	_
_	_
_	_
_	ARG2
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	ARGM-TMP
_	R-ARGM-TMP
_	ARG1
_	_
_	_
_	_
_	ARG2
_	_
_	_
_	_
_	ARG2
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	ARG0
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	ARG1
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	ARG1
_	_
_	_
_	_
_	ARG2
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	ARG1
_	_
_	_
_	ARGM-MOD
_	_
_	_
_	_
_	_
_	_
_	_
_	ARGM-ADV
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	ARG1
_	ARG0
_	_
_	ARGM-ADV
_	_
_	ARGM-TMP
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
_	_
	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
_	
